row_type,sort_order,name,telegram_label,telegram_url,x_label,x_url,website_label,website_url,nostr_label,nostr_url,latitude,longitude
group,0420,Verona,SatoshiSpritzVerona,https://t.me/SatoshiSpritzVerona,,,,,,,45.43839046,10.99352685
group,0430,Vicenza,SatoshiSpritzVicenza,https://t.me/SatoshiSpritzVicenza,,,,,,,45.54749699,11.54597109
group,0440,Treviso,SatoshiSpritzTreviso,https://t.me/SatoshiSpritzTreviso,,,,,,,45.6675457,12.24507364
group,0450,Padova,SatoshiSpritzPadova,https://t.me/SatoshiSpritzPadova,,,,,,,45.40692987,11.87608719
group,0460,Venezia,SatoshiSpritzVenezia,https://t.me/SatoshiSpritzVenezia,,,,,,,45.43490484,12.33845214
group,0470,Rovigo,SatoshiSpritzRovigo,https://t.me/SatoshiSpritzRovigo,,,,,,,45.07107288,11.79007
group,0480,Belluno,SatoshiSpritzBelluno,https://t.me/SatoshiSpritzBelluno,,,,,,,46.13837528,12.21704167
header,0500,Emilia-Romagna,,,,,,,,,,
group,0510,Parma,SatoshiSpritzParmaePiacenza,https://t.me/SatoshiSpritzParmaePiacenza,,,,,,,44.801485,10.3279036
group,0520,Piacenza,SatoshiSpritzParmaePiacenza,https://t.me/SatoshiSpritzParmaePiacenza,,,,,,,45.052621,9.692984
group,0530,Modena,SatoshiSpritzModena,https://t.me/SatoshiSpritzModena,,,,,,,44.64600008,10.92615487
group,0540,Reggio Emilia,SatoshiSpritzReggioEmilia,https://t.me/satoshispritzreggioemilia,,,,,,,44.6990,10.6297
group,0550,Rimini,SatoshiSpritzRimini,https://t.me/SatoshiSpritzRimini,,,,,,,44.0678288,12.5695158
group,0560,Vignola,SatoshiSpritzVignola,https://t.me/SatoshiSpritzVignola,,,,,,,44.4836,11.0131
header,0600,Puglia,,,,,,,,,,
group,0610,Puglia,SatoshiSpritzPuglia,https://t.me/SatoshiSpritzPuglia,,,,,,,41.12559562,16.86737016
group,0620,Taranto,SatoshiSpritzTaranto,https://t.me/SatoshiSpritzTaranto,,,,,,,40.464361,17.247030
header,0700,Toscana,,,,,,,,,,
group,0710,Firenze,SatoshiSpritzFirenze,https://t.me/SatoshiSpritzFirenze,,,,,,,43.7695604,11.2558136
group,0720,Lucca,SatoshiSpritzLucca,https://t.me/SatoshiSpritzLucca,,,,,,,43.8430139,10.5079940
group,0730,Prato,SatoshiSpritzPrato,https://t.me/SatoshiSpritzPrato,,,,,,,43.8777049,11.102228
group,0740,Siena,SatoshiSpritzToscanaSud,https://t.me/SatoshiSpritzToscanaSud,,,,,,,43.3186614,11.3305135
header,0800,Sardegna,,,,,,,,,,
group,0810,Cagliari,SatoshiSpritzCagliari,https://t.me/SatoshiSpritzCagliari,,,,,,,39.21531191,9.11061631
group,0820,Nuoro,SatoshiSpritzNuoro,https://t.me/satoshispritznuoro,,,,,,,40.31949,9.31394
header,0900,Trentino,,,,,,,,,,
group,0910,Rovereto,SatoshiSpritzRoveretoeTrento,https://t.me/SatoshiSpritzRovereto,,,,,,,45.88648404,11.04517514
group,0920,Trento,SatoshiSpritzRoveretoeTrento,https://t.me/SatoshiSpritzRovereto,,,,,,,46.065088,11.123858
group,0930,Cles,SatoshiSpritzCles,https://t.me/SatoshiSpritzCles,,,,,,,46.365271,11.033176
header,1000,Campania,,,,,,,,,,
group,1010,Napoli,SatoshiSpritzNapoli,https://t.me/SatoshiSpritzNapoli,,,,,,,40.8517746,14.2681244
header,1100,Umbria,,,,,,,,,,
group,1110,Umbria,SatoshiSpritzUmbria,https://t.me/satoshispritzumbria,@satoshiumbria,https://x.com/satoshiumbria,,,,,43.110717,12.390828
header,1200,Liguria,,,,,,,,,,
group,1210,Albenga,SatoshiSpritzAlbenga,https://t.me/satoshispritzalbenga,,,,,,,44.049114,8.213017
group,1220,Genova,SatoshiSpritzGenova,https://t.me/satoshispritzgenova,,,,,,,44.405650,8.946256
group,1230,Savona,SatoshiSpritzSavona,https://t.me/satoshispritzsavona,,,,,,,44.2975603,8.4645
header,1300,Estero,,,,,,,,,,
header,1310,Svizzera,,,,,,,,,,
group,1320,Lugano,SatoshiSpritzLugano,https://t.me/satoshispritzlugano,@satoshilugano,https://x.com/SatoshiLugano,,,,,46.003677,8.951052
